data,Hari
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,1
51,2
52,3
53,4
54,5
55,6
56,7
57,8
58,9
59,10
60,11
61,12
62,13
63,14
64,15
65,16
66,17
67,18
68,19
69,20
70,21
71,22
72,23
73,24
74,25
75,26
76,27
77,28
78,29
79,30
80,31
81,32
82,33
83,34
84,35
85,36
86,37
87,38
88,39
89,40
90,41
91,42
92,43
93,44
94,45
95,46
96,47
97,48
98,49
99,50
100,1
101,2
102,3
103,4
104,5
105,6
106,7
107,8
108,9
109,10
110,11
111,12
112,13
113,14
114,15
115,16
116,17
117,18
118,19
119,20
120,21
121,22
122,23
123,24
124,25
125,26
126,27
127,28
128,29
129,30
130,31
131,32
132,33
133,34
134,35
135,36
136,37
137,38
138,39
139,40
140,41
141,42
142,43
143,44
144,45
145,46
146,47
147,48
148,49
149,50
150,1
151,2
152,3
153,4
154,5
155,6
156,7
157,8
158,9
159,10
160,11
161,12
162,13
163,14
164,15
165,16
166,17
167,18
168,19
169,20
170,21
171,22
172,23
173,24
174,25
175,26
176,27
177,28
178,29
179,30
180,31
181,32
182,33
183,34
184,35
185,36
186,37
187,38
188,39
189,40
190,41
191,42
192,43
193,44
194,45
195,46
196,47
197,48
198,49
199,50
200,1
201,2
202,3
203,4
204,5
205,6
206,7
207,8
208,9
209,10
210,11
211,12
212,13
213,14
214,15
215,16
216,17
217,18
218,19
219,20
220,21
221,22
222,23
223,24
224,25
225,26
226,27
227,28
228,29
229,30
230,31
231,32
232,33
233,34
234,35
235,36
236,37
237,38
238,39
239,40
240,41
241,42
242,43
243,44
244,45
245,46
246,47
247,48
248,49
249,50
250,1
251,2
252,3
253,4
254,5
255,6
256,7
257,8
258,9
259,10
260,11
261,12
262,13
263,14
264,15
265,16
266,17
267,18
268,19
269,20
270,21
271,22
272,23
273,24
274,25
275,26
276,27
277,28
278,29
279,30
280,31
281,32
282,33
283,34
284,35
285,36
286,37
287,38
288,39
289,40
290,41
291,42
292,43
293,44
294,45
295,46
296,47
297,48
298,49
299,50
300,1
301,2
302,3
303,4
304,5
305,6
306,7
307,8
308,9
309,10
310,11
311,12
312,13
313,14
314,15
315,16
316,17
317,18
318,19
319,20
320,21
321,22
322,23
323,24
324,25
325,26
326,27
327,28
328,29
329,30
330,31
331,32
332,33
333,34
334,35
335,36
336,37
337,38
338,39
339,40
340,41
341,42
342,43
343,44
344,45
345,46
346,47
347,48
348,49
349,50
350,1
351,2
352,3
353,4
354,5
355,6
356,7
357,8
358,9
359,10
360,11
361,12
362,13
363,14
364,15
365,16
366,17
367,18
368,19
369,20
370,21
371,22
372,23
373,24
374,25
375,26
376,27
377,28
378,29
379,30
380,31
381,32
382,33
383,34
384,35
385,36
386,37
387,38
388,39
389,40
390,41
391,42
392,43
393,44
394,45
395,46
396,47
397,48
398,49
399,50
400,1
401,2
402,3
403,4
404,5
405,6
406,7
407,8
408,9
409,10
410,11
411,12
412,13
413,14
414,15
415,16
416,17
417,18
418,19
419,20
420,21
421,22
422,23
423,24
424,25
425,26
426,27
427,28
428,29
429,30
430,31
431,32
432,33
433,34
434,35
435,36
436,37
437,38
438,39
439,40
440,41
441,42
442,43
443,44
444,45
445,46
446,47
447,48
448,49
449,50
450,1
451,2
452,3
453,4
454,5
455,6
456,7
457,8
458,9
459,10
460,11
461,12
462,13
463,14
464,15
465,16
466,17
467,18
468,19
469,20
470,21
471,22
472,23
473,24
474,25
475,26
476,27
477,28
478,29
479,30
480,31
481,32
482,33
483,34
484,35
485,36
486,37
487,38
488,39
489,40
490,41
491,42
492,43
493,44
494,45
495,46
496,47
497,48
498,49
499,50
500,1
501,2
502,3
503,4
504,5
505,6
506,7
507,8
508,9
509,10
510,11
511,12
512,13
513,14
514,15
515,16
516,17
517,18
518,19
519,20
520,21
521,22
522,23
523,24
524,25
525,26
526,27
527,28
528,29
529,30
530,31
531,32
532,33
533,34
534,35
535,36
536,37
537,38
538,39
539,40
540,41
541,42
542,43
543,44
544,45
545,46
546,47
547,48
548,49
549,50
550,1
551,2
552,3
553,4
554,5
555,6
556,7
557,8
558,9
559,10
560,11
561,12
562,13
563,14
564,15
565,16
566,17
567,18
568,19
569,20
570,21
571,22
572,23
573,24
574,25
575,26
576,27
577,28
578,29
579,30
580,31
581,32
582,33
583,34
584,35
585,36
586,37
587,38
588,39
589,40
590,41
591,42
592,43
593,44
594,45
595,46
596,47
597,48
598,49
599,50
600,1
601,2
602,3
603,4
604,5
605,6
606,7
607,8
608,9
609,10
610,11
611,12
612,13
613,14
614,15
615,16
616,17
617,18
618,19
619,20
620,21
621,22
622,23
623,24
624,25
625,26
626,27
627,28
628,29
629,30
630,31
631,32
632,33
633,34
634,35
635,36
636,37
637,38
638,39
639,40
640,41
641,42
642,43
643,44
644,45
645,46
646,47
647,48
648,49
649,50
650,1
651,2
652,3
653,4
654,5
655,6
656,7
657,8
658,9
659,10
660,11
661,12
662,13
663,14
664,15
665,16
666,17
667,18
668,19
669,20
670,21
671,22
672,23
673,24
674,25
675,26
676,27
677,28
678,29
679,30
680,31
681,32
682,33
683,34
684,35
685,36
686,37
687,38
688,39
689,40
690,41
691,42
692,43
693,44
694,45
695,46
696,47
697,48
698,49
699,50
700,1
701,2
702,3
703,4
704,5
705,6
706,7
707,8
708,9
709,10
710,11
711,12
712,13
713,14
714,15
715,16
716,17
717,18
718,19
719,20
720,21
721,22
722,23
723,24
724,25
725,26
726,27
727,28
728,29
729,30
730,31
731,32
732,33
733,34
734,35
735,36
736,37
737,38
738,39
739,40
740,41
741,42
742,43
743,44
744,45
745,46
746,47
747,48
748,49
749,50
750,1
751,2
752,3
753,4
754,5
755,6
756,7
757,8
758,9
759,10
760,11
761,12
762,13
763,14
764,15
765,16
766,17
767,18
768,19
769,20
770,21
771,22
772,23
773,24
774,25
775,26
776,27
777,28
778,29
779,30
780,31
781,32
782,33
783,34
784,35
785,36
786,37
787,38
788,39
789,40
790,41
791,42
792,43
793,44
794,45
795,46
796,47
797,48
798,49
799,50
800,1
801,2
802,3
803,4
804,5
805,6
806,7
807,8
808,9
809,10
810,11
811,12
812,13
813,14
814,15
815,16
816,17
817,18
818,19
819,20
820,21
821,22
822,23
823,24
824,25
825,26
826,27
827,28
828,29
829,30
830,31
831,32
832,33
833,34
834,35
835,36
836,37
837,38
838,39
839,40
840,41
841,42
842,43
843,44
844,45
845,46
846,47
847,48
848,49
849,50
850,1
851,2
852,3
853,4
854,5
855,6
856,7
857,8
858,9
859,10
860,11
861,12
862,13
863,14
864,15
865,16
866,17
867,18
868,19
869,20
870,21
871,22
872,23
873,24
874,25
875,26
876,27
877,28
878,29
879,30
880,31
881,32
882,33
883,34
884,35
885,36
886,37
887,38
888,39
889,40
890,41
891,42
892,43
893,44
894,45
895,46
896,47
897,48
898,49
899,50
900,1
901,2
902,3
903,4
904,5
905,6
906,7
907,8
908,9
909,10
910,11
911,12
912,13
913,14
914,15
915,16
916,17
917,18
918,19
919,20
920,21
921,22
922,23
923,24
924,25
925,26
926,27
927,28
928,29
929,30
930,31
931,32
932,33
933,34
934,35
935,36
936,37
937,38
938,39
939,40
940,41
941,42
942,43
943,44
944,45
945,46
946,47
947,48
948,49
949,50
950,1
951,2
952,3
953,4
954,5
955,6
956,7
957,8
958,9
959,10
960,11
961,12
962,13
